customer_id,customer_name,gender,age,city,state,country,signup_date,customer_segment,income_group
1,Customer_1,M,28,Sydney,NSW,Australia,2022-04-08,Corporate,Low
2,Customer_2,F,21,Vancouver,BC,Canada,2023-08-04,Corporate,Medium
3,Customer_3,M,20,New York,NY,USA,2024-05-15,Premium,Medium
4,Customer_4,M,46,Munich,Bavaria,Germany,2022-12-08,Regular,Low
5,Customer_5,F,61,Vancouver,BC,Canada,2023-04-23,Premium,Low
6,Customer_6,M,62,Vancouver,BC,Canada,2023-04-02,Premium,Low
7,Customer_7,F,30,Munich,Bavaria,Germany,2023-11-06,Regular,Medium
8,Customer_8,M,26,Sydney,NSW,Australia,2023-05-11,Regular,Medium
9,Customer_9,F,61,Vancouver,BC,Canada,2024-05-22,Corporate,Medium
10,Customer_10,M,42,Munich,Bavaria,Germany,2023-10-27,Corporate,High
11,Customer_11,M,23,Munich,Bavaria,Germany,2022-06-05,Premium,Low
12,Customer_12,M,50,Sydney,NSW,Australia,2023-10-20,Premium,High
13,Customer_13,F,46,Austin,TX,USA,2022-08-12,Corporate,Medium
14,Customer_14,M,68,Sydney,NSW,Australia,2022-05-01,Corporate,High
15,Customer_15,M,53,Los Angeles,CA,USA,2022-05-23,Corporate,High
16,Customer_16,F,47,London,England,UK,2022-03-23,Premium,High
17,Customer_17,M,54,London,England,UK,2024-03-15,Corporate,Medium
18,Customer_18,F,47,Sydney,NSW,Australia,2022-04-06,Regular,Medium
19,Customer_19,F,37,San Diego,CA,USA,2024-02-04,Corporate,High
20,Customer_20,F,35,Munich,Bavaria,Germany,2024-06-18,Corporate,High
21,Customer_21,M,70,Toronto,ON,Canada,2022-12-22,Premium,Low
22,Customer_22,F,57,Dallas,TX,USA,2023-02-04,Regular,Medium
23,Customer_23,M,38,Munich,Bavaria,Germany,2023-02-28,Premium,High
24,Customer_24,M,50,London,England,UK,2022-06-24,Regular,High
25,Customer_25,F,37,San Diego,CA,USA,2023-04-26,Premium,Low
26,Customer_26,F,43,Manchester,England,UK,2023-12-19,Premium,Medium
27,Customer_27,M,45,Sydney,NSW,Australia,2022-05-06,Premium,Medium
28,Customer_28,M,65,Munich,Bavaria,Germany,2024-05-04,Premium,Medium
29,Customer_29,M,27,Munich,Bavaria,Germany,2023-04-26,Regular,Low
30,Customer_30,M,41,Vancouver,BC,Canada,2022-03-31,Regular,Low
31,Customer_31,F,30,Munich,Bavaria,Germany,2022-05-18,Corporate,Medium
32,Customer_32,F,21,Sydney,NSW,Australia,2023-12-26,Regular,Medium
33,Customer_33,M,30,Sydney,NSW,Australia,2024-02-10,Corporate,High
34,Customer_34,M,46,Munich,Bavaria,Germany,2022-09-07,Corporate,Medium
35,Customer_35,M,53,Toronto,ON,Canada,2024-05-02,Premium,Low
36,Customer_36,M,27,Sydney,NSW,Australia,2023-03-09,Corporate,Low
37,Customer_37,F,67,Toronto,ON,Canada,2023-08-09,Regular,High
38,Customer_38,F,34,Manchester,England,UK,2022-11-04,Corporate,Medium
39,Customer_39,F,62,Toronto,ON,Canada,2022-03-31,Premium,Medium
40,Customer_40,M,46,Sydney,NSW,Australia,2024-01-02,Premium,Medium
41,Customer_41,M,68,London,England,UK,2024-03-25,Regular,High
42,Customer_42,M,36,Vancouver,BC,Canada,2022-11-19,Regular,Medium
43,Customer_43,M,30,Munich,Bavaria,Germany,2022-02-21,Regular,Low
44,Customer_44,F,43,New York,NY,USA,2022-04-07,Premium,High
45,Customer_45,M,60,Toronto,ON,Canada,2022-08-05,Premium,Medium
46,Customer_46,M,66,New York,NY,USA,2023-02-01,Regular,High
47,Customer_47,M,59,Vancouver,BC,Canada,2024-01-12,Corporate,Low
48,Customer_48,M,20,Munich,Bavaria,Germany,2022-12-27,Premium,High
49,Customer_49,M,45,Sydney,NSW,Australia,2024-05-09,Corporate,Low
50,Customer_50,F,43,Sydney,NSW,Australia,2024-04-29,Premium,Low
51,Customer_51,F,21,Sydney,NSW,Australia,2022-02-15,Regular,Low
52,Customer_52,M,45,Munich,Bavaria,Germany,2024-05-06,Regular,High
53,Customer_53,F,36,Munich,Bavaria,Germany,2022-07-27,Premium,Medium
54,Customer_54,F,68,Sydney,NSW,Australia,2023-04-02,Corporate,High
55,Customer_55,F,57,Vancouver,BC,Canada,2023-04-18,Premium,Low
56,Customer_56,M,35,Toronto,ON,Canada,2023-10-14,Premium,Low
57,Customer_57,F,70,Sydney,NSW,Australia,2022-02-10,Corporate,Low
58,Customer_58,M,56,Munich,Bavaria,Germany,2022-10-18,Premium,Low
59,Customer_59,M,61,Munich,Bavaria,Germany,2023-05-18,Premium,Low
60,Customer_60,F,69,Los Angeles,CA,USA,2022-03-14,Regular,Medium
61,Customer_61,M,42,Toronto,ON,Canada,2023-05-14,Corporate,High
62,Customer_62,F,62,Sydney,NSW,Australia,2023-09-10,Corporate,Medium
63,Customer_63,F,66,Vancouver,BC,Canada,2023-04-24,Corporate,Low
64,Customer_64,M,40,Vancouver,BC,Canada,2022-03-24,Corporate,High
65,Customer_65,F,19,London,England,UK,2022-07-15,Regular,Medium
66,Customer_66,F,44,Munich,Bavaria,Germany,2024-04-27,Regular,Low
67,Customer_67,F,24,Vancouver,BC,Canada,2023-09-30,Regular,High
68,Customer_68,M,40,New York,NY,USA,2022-08-16,Corporate,High
69,Customer_69,F,32,Dallas,TX,USA,2022-09-05,Corporate,Medium
70,Customer_70,F,18,Sydney,NSW,Australia,2022-07-07,Regular,Low
71,Customer_71,F,21,Vancouver,BC,Canada,2023-12-30,Premium,Low
72,Customer_72,M,24,Vancouver,BC,Canada,2023-10-31,Premium,High
73,Customer_73,F,35,Austin,TX,USA,2022-10-20,Regular,Low
74,Customer_74,F,68,Sydney,NSW,Australia,2022-12-26,Premium,Medium
75,Customer_75,F,59,Toronto,ON,Canada,2022-11-01,Regular,Medium
76,Customer_76,F,36,Vancouver,BC,Canada,2023-07-10,Regular,High
77,Customer_77,M,53,Sydney,NSW,Australia,2023-11-27,Regular,High
78,Customer_78,F,69,Sydney,NSW,Australia,2022-06-07,Regular,High
79,Customer_79,F,27,Vancouver,BC,Canada,2023-09-05,Regular,High
80,Customer_80,F,29,Sydney,NSW,Australia,2022-04-28,Premium,Low
81,Customer_81,F,37,Dallas,TX,USA,2023-12-04,Corporate,Medium
82,Customer_82,F,24,Sydney,NSW,Australia,2022-03-02,Corporate,Low
83,Customer_83,M,18,Toronto,ON,Canada,2022-07-08,Premium,Medium
84,Customer_84,F,54,Sydney,NSW,Australia,2024-04-13,Corporate,Medium
85,Customer_85,F,41,New York,NY,USA,2022-08-19,Regular,High
86,Customer_86,F,68,Munich,Bavaria,Germany,2024-01-05,Regular,High
87,Customer_87,F,28,Sydney,NSW,Australia,2024-05-24,Corporate,High
88,Customer_88,M,60,Munich,Bavaria,Germany,2023-10-13,Regular,Low
89,Customer_89,F,30,Sydney,NSW,Australia,2022-11-28,Corporate,Medium
90,Customer_90,M,68,Sydney,NSW,Australia,2022-05-29,Corporate,Low
91,Customer_91,F,57,Manchester,England,UK,2023-12-09,Regular,High
92,Customer_92,F,23,Dallas,TX,USA,2022-10-09,Premium,Low
93,Customer_93,F,66,London,England,UK,2024-04-05,Premium,Medium
94,Customer_94,M,47,London,England,UK,2023-08-19,Regular,Low
95,Customer_95,F,31,Austin,TX,USA,2023-12-01,Regular,Medium
96,Customer_96,M,47,Munich,Bavaria,Germany,2022-05-04,Corporate,Medium
97,Customer_97,M,50,Manchester,England,UK,2023-11-06,Regular,High
98,Customer_98,F,26,Sydney,NSW,Australia,2024-06-13,Regular,Medium
99,Customer_99,F,44,Sydney,NSW,Australia,2023-03-12,Corporate,High
100,Customer_100,F,63,Sydney,NSW,Australia,2023-06-01,Premium,Low
101,Customer_101,F,47,Dallas,TX,USA,2023-01-22,Premium,Medium
102,Customer_102,F,49,Munich,Bavaria,Germany,2022-11-28,Premium,Medium
103,Customer_103,F,68,Manchester,England,UK,2022-04-17,Premium,Low
104,Customer_104,M,20,Toronto,ON,Canada,2023-01-02,Premium,Low
105,Customer_105,M,44,Manchester,England,UK,2024-04-28,Regular,Low
106,Customer_106,M,62,Los Angeles,CA,USA,2022-02-08,Corporate,High
107,Customer_107,M,21,Munich,Bavaria,Germany,2023-01-16,Corporate,Low
